"","ID_point","ID_carre","altitude","NDVI_mean_250","NDVI_var_250","CLC_250","CLC_500","Contains_Water_250","Contains_Forest_250","Contains_Urban_250","Contains_Agri_250","Temp_range","Precip","Dist_1_bat","Bt_v_250","Bt_v_500","Dist_1_bat_log","Bt_v_250_quart","Bt_v_500_quart"
"391","100134P10",100134,-0.785739042370244,-0.00286824505849033,0.231171130223558,"Forest and natural","Agriculture","0","1","1","1",-0.0573082673233725,-0.985643365203005,146.550044775778,25928.7564305046,164815.574999858,-0.103250087238735,"3","4"
"392","100171P01",100171,-0.728105844073199,-1.78039946951865,-0.128861485650402,"Agriculture","Agriculture","0","0","1","1",-0.088097691284117,-1.00171269283429,54.678242586067,23499.8305590419,134976.885000092,-0.778935824745263,"3","4"
"393","100171P02",100171,-0.724903999723363,-1.04627076014556,0.872628012734016,"Agriculture","Agriculture","0","0","0","1",-0.0827931321755738,-1.00553580673356,433.02683821382,0,11328.0362138624,0.639278799156964,"0","2"
"394","100171P03",100171,-0.71209662232402,-1.33803404992465,1.18392604596506,"Agriculture","Agriculture","0","0","0","1",-0.073364064801886,-1.01089224927732,608.104953861691,0,0,0.871987325544351,"0","0"
"395","100171P04",100171,-0.71209662232402,-1.65587197997649,-0.524461735134818,"Agriculture","Agriculture","0","0","1","1",-0.073364064801886,-1.01089224927732,9.88757353964559,11199.9728976637,103485.574999726,-1.95100980947587,"3","4"
"396","100171P05",100171,-0.728105844073199,-1.23857591928878,0.363158035112705,"Agriculture","Agriculture","0","0","1","1",-0.0827931321755738,-1.00553580673356,172.960517817266,5629.94999997935,257449.309999654,0.0103096574749988,"2","4"
"397","100171P06",100171,-0.740913221472542,-0.553638997632487,0.185392603910188,"Agriculture","Forest and natural","0","1","1","1",-0.0827931321755738,-1.00553580673356,33.9667614243995,55218.4889061721,288026.924999719,-1.105218839476,"4","4"
"398","100171P07",100171,-0.737711377122707,-1.25320404910577,-1.11116187431941,"Urban","Urban","0","1","1","1",-0.0827931321755738,-1.00553580673356,3.11620369441039,313302.698794798,567104.035000304,-2.74235643141743,"4","4"
"399","100171P08",100171,-0.760124287571557,0.703248791567039,-0.340038117738021,"Agriculture","Forest and natural","0","1","0","1",-0.0662202592473804,-0.975764254714094,416.277582272692,0,4292.13622088259,0.612243583256518,"0","1"
"400","100171P09",100171,-0.760124287571557,0.474328581666145,0.0207177574594162,"Forest and natural","Forest and natural","0","1","0","1",-0.0667040725336109,-0.980213948378147,211.658001346274,7541.39081915451,195537.592321219,0.148687271216422,"2","4"
"401","100171P10",100171,-0.760124287571557,0.589276711331207,1.30892861171951,"Forest and natural","Forest and natural","0","1","0","0",-0.0699131153461908,-0.985966537019293,332.099459745126,0,106033.007215299,0.457411180769458,"0","4"
"402","100232P01",100232,-0.654463424026975,0.533353065209026,-0.0114269180937958,"Agriculture","Agriculture","0","1","0","1",-0.16060089201705,-0.451841928610125,927.505176097404,0,0,1.16130775816757,"0","0"
"403","100232P02",100232,-0.606435758779437,0.0319210032227781,0.219922648703622,"Agriculture","Agriculture","0","1","0","1",-0.146900660475895,-0.45628706138161,242.135928390858,1046.99999999162,7909.38000002038,0.240885467272288,"1","2"
"404","100232P03",100232,-0.648059735327303,-0.0211623705893732,0.667076144624197,"Agriculture","Agriculture","0","1","0","1",-0.165780718012783,-0.443197951265859,306.779363884701,0,40235.8354063149,0.403059148744756,"0","3"
"405","100232P04",100232,-0.628848669228288,0.190357682572598,0.361258384300033,"Agriculture","Agriculture","0","1","0","1",-0.165780718012783,-0.443197951265859,732.595814289358,0,0,0.99963116703007,"0","0"
"406","100232P05",100232,-0.641656046627631,-0.497149292387001,-0.599161098423278,"Agriculture","Agriculture","0","1","0","1",-0.165780718012783,-0.443197951265859,395.113046164766,0,10349.6934412558,0.57648183942943,"0","2"
"407","100232P06",100232,-0.638454202277796,0.266769395942262,-0.706682921301942,"Agriculture","Agriculture","0","0","1","1",-0.166005237615906,-0.424473315418226,6.06878258258133,66957.0785806504,108970.610000251,-2.28554258123889,"4","4"
"408","100232P07",100232,-0.651261579677139,-0.406421286558376,0.461543514340778,"Agriculture","Agriculture","0","0","0","1",-0.166005237615906,-0.424473315418226,174.872333948461,3843.71733176676,7787.81999998493,0.0178435824917322,"2","2"
"409","100232P08",100232,-0.660867112726646,-0.329822463266979,1.38015368736715,"Agriculture","Agriculture","0","0","0","1",-0.16488944322455,-0.440059839993315,911.779451589151,0,0,1.1495881335696,"0","0"
"410","100232P09",100232,-0.651261579677139,-0.523635386814627,0.721073883915644,"Agriculture","Agriculture","0","0","0","1",-0.16488944322455,-0.440059839993315,1297.11978926549,0,0,1.39117577805533,"0","0"
"411","100232P10",100232,-0.654463424026975,0.243574259131041,-0.17920812157719,"Agriculture","Agriculture","0","1","0","1",-0.16060089201705,-0.451841928610125,1161.01103027875,0,0,1.31520144302861,"0","0"
"412","100239P01",100239,-0.836968551967618,0.581204057383156,-0.263251619373832,"Forest and natural","Forest and natural","0","1","0","1",-0.172185952347511,-1.08887113263454,366.987671607926,0,5681.9899999788,0.525873204439614,"0","1"
"413","100239P02",100239,-0.840170396317453,-0.438236466736827,-0.384907620064927,"Forest and natural","Agriculture","0","1","0","1",-0.171185819569885,-1.11120430324536,786.661688401314,0,0,1.04843081298123,"0","0"
"414","100239P03",100239,-0.82736301891811,-1.25148476228351,0.66598170478664,"Agriculture","Agriculture","0","0","0","1",-0.171185819569885,-1.11120430324536,475.282068025228,0,9494.85499980953,0.703090729557619,"0","2"
"415","100239P04",100239,-0.817757485868603,-1.64000616588383,0.67866296304127,"Agriculture","Agriculture","0","1","0","1",-0.171185819569885,-1.11120430324536,951.491677258601,0,0,1.17880646031424,"0","0"
"416","100239P05",100239,-0.817757485868603,-1.22121602214907,0.0414815933328478,"Agriculture","Agriculture","0","1","0","1",-0.168570203991175,-1.10865693615313,676.810543589816,0,0,0.94534968938548,"0","0"
"417","100239P06",100239,-0.801748264119423,-1.22092395050514,3.78157463814039,"Agriculture","Agriculture","0","0","0","1",-0.168570203991175,-1.10865693615313,614.488661245625,0,0,0.879144410804268,"0","0"
"418","100239P07",100239,-0.766527976271229,-1.81109975982644,0.627443414729514,"Agriculture","Agriculture","0","0","0","1",-0.171185819569885,-1.11120430324536,1055.82933203577,0,0,1.25011757358307,"0","0"
"419","100239P08",100239,-0.744115065822378,-1.09504086177876,0.782623453761226,"Agriculture","Agriculture","0","0","0","1",-0.171185819569885,-1.11120430324536,1086.68523689069,0,0,1.26985933627051,"0","0"
"420","100239P09",100239,-0.798546419769588,-1.01654744261787,2.92249051764235,"Agriculture","Agriculture","0","0","0","1",-0.173361467441389,-1.10419790351857,300.24096370414,0,26939.0800001352,0.388294386583078,"0","3"
"421","100239P10",100239,-0.836968551967618,-0.638101955221139,0.686464683282938,"Agriculture","Agriculture","0","1","0","1",-0.168570203991175,-1.10865693615313,282.685935579028,0,4767.64499991795,0.34700293291663,"0","1"
"422","100280P01",100280,-0.667270801426318,1.31038874083793,0.976004753997497,"Forest and natural","Forest and natural","1","1","0","0",-0.167671369620356,-0.467597206210253,959.572351214459,0,0,1.18460229954296,"0","0"
"423","100280P02",100280,-0.664068957076482,1.25029226195168,0.911835638774352,"Forest and natural","Forest and natural","1","1","0","0",-0.168756925681368,-0.460618606209601,1237.15741303554,0,0,1.35873829292515,"0","0"
"424","100280P03",100280,-0.664068957076482,0.817927888318361,0.610589917514601,"Forest and natural","Forest and natural","1","1","0","1",-0.167671369620356,-0.467597206210253,1056.10238909365,0,0,1.25029479448047,"0","0"
"425","100280P04",100280,-0.654463424026975,-1.54591192682235,1.41170661950363,"Agriculture","Agriculture","0","0","0","1",-0.144133097287015,-0.494342063047061,748.305235971,0,0,1.01417208562995,"0","0"
"426","100280P05",100280,-0.664068957076482,0.37276996293116,-0.109282913636848,"Agriculture","Agriculture","1","1","0","1",-0.146267923412481,-0.483778601487502,89.7604988579305,2106.2600000524,2106.2600000524,-0.439222929836694,"1","1"
"427","100280P06",100280,-0.657665268376811,0.155881562839187,0.161011413285745,"Forest and natural","Forest and natural","0","1","0","0",-0.167827852980124,-0.473381938284739,671.700083044228,0,0,0.940155124906316,"0","0"
