"","ID_point","ID_carre","nb_sp","altitude","NDVI_mean_250","NDVI_var_250","CLC_250","CLC_500","Contains_Water_250","Contains_Forest_250","Contains_Urban_250","Contains_Agri_250","Temp_range","Precip","Dist_1_bat","Bt_v_250","Bt_v_500","nb_sp_carre","prop_sp","Dist_1_bat_log","Bt_v_250_quart","Bt_v_500_quart"
"8039","640708P09","640708",15,-0.410305860000991,-0.106921350417599,0.103905450045055,"Agriculture","Agriculture","0","0","0","1",-0.156467113479177,0.657516914018773,625.049286769828,0,0,31,0.483870967741935,6.43783050545893,"0","0"
"8040","640708P10","640708",10,-0.394751972966999,-1.19158472292994,1.77897763017479,"Agriculture","Agriculture","0","0","0","1",-0.195876608677597,0.652689627566618,543.023522750376,0,0,31,0.32258064516129,6.29715263897793,"0","0"
"8041","640804P01","640804",1,0.557145913513307,0.433958476105029,0.141056127034276,"Forest and natural","Forest and natural","0","1","0","0",-1.29933796419096,3.26765414275775,193.969186468989,1667.19500004197,1667.19500004197,10,0.1,5.26769931381401,"1","1"
"8042","640804P02","640804",1,0.697130896819235,0.205989975724587,0.0837606137969437,"Forest and natural","Forest and natural","0","1","0","0",-1.29933796419096,3.26765414275775,297.44082644003,0,1658.83500003209,10,0.1,5.69521530247933,"0","1"
"8043","640804P03","640804",5,0.824672770497969,0.127577612393933,-0.386923381023386,"Forest and natural","Forest and natural","0","1","0","0",-1.29933796419096,3.26765414275775,568.089713869291,0,0,10,0.5,6.34227935320182,"0","0"
"8044","640804P04","640804",3,0.921106870108719,0.187107031064495,-0.333141423411039,"Forest and natural","Forest and natural","0","1","0","0",-1.29933796419096,3.23386355849126,785.647920670808,0,0,10,0.3,6.66650875399712,"0","0"
"8045","640804P05","640804",4,0.843337434938759,0.173349681163497,-0.411037075573225,"Forest and natural","Forest and natural","0","1","0","0",-1.29933796419096,3.23386355849126,703.776479772362,0,0,10,0.4,6.55646080542079,"0","0"
"8046","640804P06","640804",1,0.690909342005638,0.12158496454036,0.00412767671698578,"Forest and natural","Forest and natural","0","1","0","0",-1.29933796419096,3.23386355849126,440.896224608658,0,627.900000000838,10,0.1,6.08880952940742,"0","1"
"8047","640804P07","640804",4,1.11086429192342,0.131111787205168,-0.237765099801273,"Forest and natural","Forest and natural","0","1","0","0",-1.29933796419096,3.27937701155765,491.995786816681,0,1313.151541116,10,0.4,6.19847015307491,"0","1"
"8048","640804P08","640804",4,0.908663760481525,0.0178714551509732,-0.336472405309485,"Forest and natural","Forest and natural","0","1","0","0",-1.29933796419096,3.27937701155765,635.962444593107,0,0,10,0.4,6.45513951221473,"0","0"
"8049","640804P09","640804",2,0.830894325311565,-0.0516629266891645,-0.495185360067407,"Forest and natural","Forest and natural","0","1","0","0",-1.29933796419096,3.28937630044456,801.385101031439,0,0,10,0.2,6.68634160685308,"0","0"
